Cast Vote Record,Precinct,Ballot Style,1st Choice Council Member At Large Seat B City of Minnetonka,2nd Choice Council Member At Large Seat B City of Minnetonka,3rd Choice Council Member At Large Seat B City of Minnetonka
26827,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26828,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,,
26829,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26830,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26831,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26832,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel
26833,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel
26834,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26835,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26836,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26837,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26838,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel
26839,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Stacy Cranbrook,undervote,undervote
26840,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26841,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn
26842,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn
26843,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel
26844,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Stacy Cranbrook,Jim Hadley,Kimberly Wilburn
26845,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26846,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26847,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26848,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26849,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,undervote
26850,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26851,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Ash Patel,Kimberly Wilburn,undervote
26852,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26853,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26854,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26855,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26856,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26857,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Daniel Kral,Daniel Kral
26858,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
26859,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26860,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26861,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,undervote,undervote
26862,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26863,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26864,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26865,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26866,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26867,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Jim Hadley,Ash Patel
26868,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26869,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26870,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26871,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26872,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26873,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26874,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,overvote
26875,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Stacy Cranbrook,Kimberly Wilburn
26876,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,Kimberly Wilburn,undervote
26877,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26878,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26879,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26880,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26881,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26882,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Jim Hadley,undervote
26883,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26884,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Jim Hadley,Kimberly Wilburn
26885,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,Ash Patel
26886,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26887,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26888,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26889,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26890,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26891,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26892,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Daniel Kral
26893,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Jim Hadley
26894,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,undervote,undervote
26895,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Daniel Kral,undervote
26896,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26897,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26898,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26899,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
26900,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Kimberly Wilburn,undervote
26901,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26902,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,undervote
26903,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26904,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Ash Patel
26905,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Daniel Kral,undervote
26906,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
26907,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
26908,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Daniel Kral,Jim Hadley
26909,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Jim Hadley,undervote
26910,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Daniel Kral
26911,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26912,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
26913,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,undervote,undervote
26914,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26915,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26916,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
26917,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
26918,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26919,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,undervote
26920,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Kimberly Wilburn,Jim Hadley
26921,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
26922,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26923,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
26924,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26925,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26926,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26927,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Kimberly Wilburn
26928,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
26929,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
26930,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,Daniel Kral
